trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.28872213491368,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.19976911307865,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-116.81788343558044,"{0: 23, 1: 2, 2: 7, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.84225742646723,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.13533178647147,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.31923006210955,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.62260343664676,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.29389179719723,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,2,-57.856536582751104,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-203.95868049357907,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.34897600877997,"{0: 6, 1: 3, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-182.85173356737403,"{0: 20, 1: 5, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,5,-29.22970292967824,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.36539648734956,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.08302309438206,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.32681708743957,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.6309733822446,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.18201882702816,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.14928891200209,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.8474145835236,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
21,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.85244446030852,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.34091081013186,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.98519796578728,"{0: 13, 1: 3, 2: 5, 3: 4, 4: 0}",0
24,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.90761761286714,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.52769495587741,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.5318975358632,"{0: 10, 1: 6, 2: 1, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 1.0}",30,0,-66.36264006914627,"{0: 21, 1: 4, 2: 3, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.76383957156244,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.73918494092209,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.45207823119438,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
31,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.82378042755042,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 1.0}",25,18,1.0361918901096363,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.40749234326572,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.45133971527432,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 1.0}",20,11,-28.510267864445225,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.6058360329435,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
37,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.28706084705918,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.82638441847055,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 1.0}",20,8,-41.28248274852399,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.67257210862559,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 1.0}",20,0,-205.73641620543927,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
42,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.39150919940721,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.72656761172688,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.32602325222715,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.63149367278585,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
46,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.15884416486514,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",1
47,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.72102336425192,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.52909704982787,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 1.0}",25,9,-11.677921283492946,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.7446374356254,"{0: 18, 1: 6, 2: 2, 3: 1, 4: 3}",0
51,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.6886533974059,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
