trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-226.8863524534758,"{0: 9, 1: 1, 2: 11, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.990025}",25,0,-114.54130927058097,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",25,0,-175.1240684879514,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9801495006250001}",25,0,-63.4500528760193,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9752487531218751}",20,0,-152.91008621404683,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562657}",25,0,-165.2379116365497,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094844}",20,0,-64.04122089282737,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.960693043575437}",30,0,-180.61549189240122,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575597}",30,0,-235.06618592527178,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",20,0,-117.01572572404432,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",30,0,-104.5004069266419,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",20,0,-69.01244573426155,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",25,0,-134.46401438461132,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",30,0,-225.06017464098164,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",1
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",20,0,-35.65793367674272,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",20,0,-34.96971973968939,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",20,0,-70.89143014074389,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",25,0,-151.94889148814224,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",25,0,-152.64005658822376,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",30,0,-207.8676063666918,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9000874278732445}",30,0,-140.34536226213757,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8955869907338783}",30,0,-99.47294568901489,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8911090557802088}",20,12,-17.60062388027528,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.8866535105013078}",25,0,-89.32415075989577,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8822202429488013}",25,0,-156.3833135605909,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8778091417340573}",30,0,-67.91356241642211,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8734200960253871}",25,0,-181.97672088094316,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.8690529955452602}",30,2,-51.007190398762006,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 1}",1
