trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.498, 'e': 0.99}",20,0,-249.7294299635072,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 5}",0
2,False,"{'a': 0.49602, 'e': 0.9801}",25,0,-179.58525338102376,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
3,False,"{'a': 0.49405979999999994, 'e': 0.9702989999999999}",25,0,-45.06262064553944,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.492119202, 'e': 0.96059601}",30,5,-107.64542435757353,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",1
5,False,"{'a': 0.49019800997999996, 'e': 0.9509900498999999}",25,0,-77.43295095301586,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.48829602988019993, 'e': 0.9414801494009999}",20,0,-68.78933431219265,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.48641306958139796, 'e': 0.9320653479069899}",30,0,-148.90462233633542,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.484548938885584, 'e': 0.92274469442792}",25,0,-103.92433323672702,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.48270344949672817, 'e': 0.9135172474836407}",20,0,-167.49392057511423,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.4808764150017608, 'e': 0.9043820750088043}",25,0,-63.29070431424062,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.47906765085174324, 'e': 0.8953382542587163}",25,0,-111.88679518254172,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.4772769743432258, 'e': 0.8863848717161291}",25,11,-53.69580536081635,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 0}",1
13,False,"{'a': 0.4755042045997936, 'e': 0.8775210229989678}",25,0,-110.41057203997869,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.4737491625537956, 'e': 0.8687458127689781}",25,0,-95.96857950891516,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.4720116709282577, 'e': 0.8600583546412883}",35,0,-291.6768732700777,"{0: 17, 1: 3, 2: 10, 3: 0, 4: 5}",0
16,False,"{'a': 0.47029155421897506, 'e': 0.8514577710948754}",35,11,-134.15396513060972,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 2}",1
17,False,"{'a': 0.46858863867678535, 'e': 0.8429431933839266}",20,0,-79.31766145501847,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.46690275229001743, 'e': 0.8345137614500874}",25,0,-161.230831799827,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
