trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.0682187243164,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.9814586525851,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,5,-32.06935472705745,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.07873313095116,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.74184154874301,"{0: 14, 1: 2, 2: 0, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.93444691997632,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.69139139872033,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.01316893819322,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.86674904617547,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.6925935327172,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.99121525688375,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-221.53579779035877,"{0: 5, 1: 3, 2: 9, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.770402968231416,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-222.96316867933604,"{0: 21, 1: 2, 2: 7, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.9409657399747,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.14365985174973,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.50263395361594,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.90700582086049,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.49670672616548,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-260.99573110685446,"{0: 15, 1: 2, 2: 7, 3: 2, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-211.53522465166438,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,6,-78.30692993626583,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,13,-9.97457175262776,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-61.37355038905606,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.256241614777466,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.56795567709894,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-166.37388825821168,"{0: 18, 1: 7, 2: 8, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-224.43908671859944,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.32740271143335,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-178.74099110561463,"{0: 12, 1: 0, 2: 11, 3: 0, 4: 2}",0
